Model,CV Accuracy,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.7061614568874577,0.7061421116017663,0.6880072137060415,0.6640557006092254,0.6758193091231178,0.7882238037611919
KNN,0.5283081450224862,0.53472501003613,0.49774774774774777,0.9617058311575283,0.6559810032650638,0.6162959691509108
Random Forest,0.6848234597375679,0.6888799678843838,0.861003861003861,0.38816362053959963,0.5350929814037193,0.7802988148834145
Neural Network,0.658149390187478,0.67442794058611,0.6403654485049833,0.6710182767624021,0.6553336166595836,0.7486316099400891
DistilBERT (Fine-Tuned),,0.6945002007226013,0.7449494949494949,0.5134899912967799,0.6079340546110252,0.7846802571795081
